EVENT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Type,Subtype,Description,Values,,,,,,,Latitude,Longitude,GPS HDOP
EVENT_FAULT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Fault Importance,Fault Code,Fault Description
EVENT_INIT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),External Time Zone,Firmware Version
EVENT_OFFLOAD_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Time Zone,HR Total Accepted Detections,PPM Total Accepted Detections,Memory Remaining (%),Battery Remaining (%),Original File
HEALTH_HR2_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Line Voltage (V),Memory Remaining (%),RTC Time
TEMP_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient (deg C),Internal (deg C)
TEMP_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Min (deg C),Ambient Max (deg C),Ambient Mean (deg C),Sample Count,Accumulation Period (s)
DATA_SOURCE_FILE,HR2-180 461356 2024-07-29 173639.vdat,04773086-3519-4f4b-a8bb-26d9e83c8277,com.vemco.file.vrdp.vrhr2/1.0.0,53189,ORIGINAL
TEMP,2024-07-28 15:50:00,2024-07-28 15:49:59.961577,,-0.038422333,HR2-180,461356,27.5,28.2
ATTITUDE,2024-07-28 15:50:00,2024-07-28 15:49:59.961577,,-0.038422333,HR2-180,461356,68
DIAG_HR2,2024-07-28 16:00:00,2024-07-28 15:59:59.959343,,-0.040656839,HR2-180,461356,68,20,0,5,0,0,0,0,12
TEMP,2024-07-28 16:00:00,2024-07-28 15:59:59.959343,,-0.040656839,HR2-180,461356,27.1,28.0
ATTITUDE,2024-07-28 16:00:00,2024-07-28 15:59:59.959343,,-0.040656839,HR2-180,461356,68
DIAG_HR2,2024-07-28 16:10:00,2024-07-28 16:09:59.957108,,-0.042891346,HR2-180,461356,68,20,0,6,0,0,0,0,12
TEMP,2024-07-28 16:10:00,2024-07-28 16:09:59.957108,,-0.042891346,HR2-180,461356,26.7,27.7
ATTITUDE,2024-07-28 16:10:00,2024-07-28 16:09:59.957108,,-0.042891346,HR2-180,461356,68
DIAG_HR2,2024-07-28 16:20:00,2024-07-28 16:19:59.954874,,-0.045125852,HR2-180,461356,68,20,0,2,0,0,0,0,12
TEMP,2024-07-28 16:20:00,2024-07-28 16:19:59.954874,,-0.045125852,HR2-180,461356,26.6,27.5
ATTITUDE,2024-07-28 16:20:00,2024-07-28 16:19:59.954874,,-0.045125852,HR2-180,461356,68
DIAG_HR2,2024-07-28 16:30:00,2024-07-28 16:29:59.952639,,-0.047360358,HR2-180,461356,68,20,0,7,0,0,0,0,12
TEMP,2024-07-28 16:30:00,2024-07-28 16:29:59.952639,,-0.047360358,HR2-180,461356,26.5,27.2
ATTITUDE,2024-07-28 16:30:00,2024-07-28 16:29:59.952639,,-0.047360358,HR2-180,461356,68
DIAG_HR2,2024-07-28 16:40:00,2024-07-28 16:39:59.950405,,-0.049594864,HR2-180,461356,68,20,0,3,0,0,0,0,12
TEMP,2024-07-28 16:40:00,2024-07-28 16:39:59.950405,,-0.049594864,HR2-180,461356,26.2,27.1
ATTITUDE,2024-07-28 16:40:00,2024-07-28 16:39:59.950405,,-0.049594864,HR2-180,461356,68
